k,dispersion,geometry,is_core,model,Mean_Error_m,Median_Error_m,Std_Error_m,Min_Error_m,Max_Error_m,Q25_Error_m,Q75_Error_m,ap_indices_str,ap_names_str
3,7.286224294339617,,False,KWNN,3.0383478185123742,2.5647711797733868,1.9582562741680536,0.5419916498748028,7.335680426368239,1.97669532880858,2.702181621435554,"(4, 5, 6)","('ap4', 'ap5', 'ap6')"
3,7.286224294339617,,False,RF,2.954179375553215,3.5928840782858553,2.0300755162063453,0.1307714036018578,6.240988796657145,0.7275460191630493,4.402584699923444,"(4, 5, 6)","('ap4', 'ap5', 'ap6')"
3,7.286224294339617,,False,Transformer,2.619709971929227,2.1466843330971037,1.029745259616463,1.2465929121930983,4.504951117722802,1.913327089428136,3.3337772703241635,"(4, 5, 6)","('ap4', 'ap5', 'ap6')"
4,8.369083626382471,,False,KWNN,2.7220630037206317,1.8253922977430541,2.0637889708738637,0.7521783677874478,7.887136715846897,1.2920347146238826,3.3746301196849524,"(1, 2, 3, 4)","('ap1', 'ap2', 'ap3', 'ap4')"
4,8.369083626382471,,False,RF,2.7637814960991043,1.685027821728769,2.287427725060565,0.9465232432433975,8.443452801431414,1.0508606044571278,3.4583140632394853,"(1, 2, 3, 4)","('ap1', 'ap2', 'ap3', 'ap4')"
4,8.369083626382471,,False,Transformer,3.124905397465,3.13940714524748,1.5833637497368487,0.8364994467140474,5.801856549109116,2.0063091002707845,3.858601835499364,"(1, 2, 3, 4)","('ap1', 'ap2', 'ap3', 'ap4')"
4,12.896026235706556,,False,KWNN,2.330354317303853,1.890895927010785,1.9595625468277436,0.42037543137486166,6.562728506843369,0.7173293076134333,3.887405301445748,"(1, 2, 3, 5)","('ap1', 'ap2', 'ap3', 'ap5')"
4,12.896026235706556,,False,RF,2.7893037021922065,1.930802941783547,2.2425819871654795,0.6092763658636366,8.498076277017052,1.4869653963693976,3.3759017995196485,"(1, 2, 3, 5)","('ap1', 'ap2', 'ap3', 'ap5')"
4,12.896026235706556,,False,Transformer,3.5315118363297886,3.0593697789143173,1.3958857362582324,1.3135285688658436,6.152831226130745,2.772576775720634,4.54159229008944,"(1, 2, 3, 5)","('ap1', 'ap2', 'ap3', 'ap5')"
4,10.539590775658173,,False,KWNN,3.0513139377428966,2.482708552734014,2.1956079893253304,0.4885595369529666,7.459250486620585,1.2231260638882369,4.019160037627256,"(1, 2, 3, 6)","('ap1', 'ap2', 'ap3', 'ap6')"
4,10.539590775658173,,False,RF,2.1903441008448237,1.2988000654450245,2.234610969101247,0.08015609770940699,7.7498796280974585,0.8140922859234081,3.029119746725111,"(1, 2, 3, 6)","('ap1', 'ap2', 'ap3', 'ap6')"
4,10.539590775658173,,False,Transformer,2.584013569320393,2.517054871378043,1.46003945131104,0.3894831669324032,5.0843572244610655,1.4537447995187076,3.8182266759676207,"(1, 2, 3, 6)","('ap1', 'ap2', 'ap3', 'ap6')"
4,13.035711694660014,,False,KWNN,2.445504420340061,1.9793232504384277,2.0168761361248886,0.32009314357789265,6.922391647869348,1.1695467932206636,2.2492810143258004,"(1, 2, 4, 5)","('ap1', 'ap2', 'ap4', 'ap5')"
4,13.035711694660014,,False,RF,2.8564868912738905,1.9541637597704036,2.3298754976231826,0.5564049694242496,8.343854917842233,1.2636746772805094,3.9710618340690695,"(1, 2, 4, 5)","('ap1', 'ap2', 'ap4', 'ap5')"
4,13.035711694660014,,False,Transformer,2.859664124050248,2.471135875334241,1.9456157652249308,0.6750076856736111,6.801147693270808,1.0687026381301206,3.648745520751195,"(1, 2, 4, 5)","('ap1', 'ap2', 'ap4', 'ap5')"
4,10.582171031701405,,False,KWNN,2.3751747508053764,1.5124157547170194,2.1609702414312557,0.35706740251375596,6.748988020860268,0.7560576543722941,2.5861466296092757,"(1, 2, 4, 6)","('ap1', 'ap2', 'ap4', 'ap6')"
4,10.582171031701405,,False,RF,2.588241586876494,1.691288278206882,2.0890380279945817,0.9585405573057406,7.660445211604872,1.0357934156963926,3.4573731198700552,"(1, 2, 4, 6)","('ap1', 'ap2', 'ap4', 'ap6')"
